age,dc_key,dispatch_date_time,geometry,hispanic,location_block,neighborhood,police_district,race,sex,time_offset,weapon,year,zip_code
26,201835109550,2018-12-30 21:00:00+00:00,POINT (2704073.09179473 268608.071022134),0,100 BLOCK WIDENER ST,Olney,35.0,Black,Male,410130000.0,firearm,2018,19120.0
40,201815115762,2018-12-29 23:00:00+00:00,POINT (2718743.221626258 265304.526845683),0,2100 BLOCK LARDNER ST,Mayfair,15.0,White,Male,410050800.0,knife,2018,19149.0
25,201815115971,2018-12-29 18:00:00+00:00,POINT (2714424.617601689 256751.803263876),0,2000 BLOCK WOMRATH STR,Frankford,15.0,Black,Male,410032800.0,firearm,2018,19124.0
28,201822103803,2018-12-28 01:00:00+00:00,POINT (2693178.283887419 249037.8621782725),0,2200 BLOCK N GRATZ ST,Stanton,22.0,Black,Male,409885200.0,firearm,2018,19132.0
22,201822103800,2018-12-28 01:00:00+00:00,POINT (2693178.283887419 249037.8621782725),0,2200 BLOCK N GRATZ ST,Stanton,22.0,Black,Male,409885200.0,firearm,2018,19132.0
29,201814107307,2018-12-22 22:00:00+00:00,POINT (2694908.758272045 275796.894490172),0,2100 BLOCK MIDDLETON ST,West Oak Lane,14.0,Black,Male,409442400.0,firearm,2018,19138.0
40,201825014004,2018-12-22 19:00:00+00:00,POINT (2697125.917503921 257970.7293759543),1,1300 BLOCK W PIKE ST,Hunting Park,25.0,White,Male,409431600.0,hands,2018,19140.0
17,201826054474,2018-12-22 15:00:00+00:00,POINT (2697146.758431081 248114.2860171965),0,2100 BLOCK N 10TH ST,Hartranft,26.0,Black,Male,409417200.0,firearm,2018,19122.0
35,201826054468,2018-12-22 14:00:00+00:00,POINT (2697146.758431081 248114.2860171965),0,2100 BLOCK N 10TH ST,Hartranft,26.0,Black,Female,409413600.0,firearm,2018,19122.0
31,201825099587,2018-12-22 02:00:00+00:00,POINT (2701502.554120507 253397.8412899002),0,3200 BLOCK N 02ND ST,Upper Kensington,25.0,Black,Male,409370400.0,firearm,2018,19140.0
27,201818080750,2018-12-22 02:00:00+00:00,POINT (2670769.272342216 239114.8678098219),0,6100 BLOCK MARKET,Cobbs Creek,18.0,Black,Male,409370400.0,firearm,2018,19139.0
35,201839091076,2018-12-21 23:00:00+00:00,POINT (2695213.372761857 254822.3525814203),1,1500 BLOCK W WESTMORELAND ST,Tioga,39.0,White,Male,409359600.0,firearm,2018,19132.0
24,201826054217,2018-12-20 19:00:00+00:00,POINT (2697892.737125676 245921.167389157),0,700 BLOCK W MONTGOMERY AVE,Hartranft,26.0,Black,Male,409258800.0,firearm,2018,19122.0
19,201824111608,2018-12-20 10:00:00+00:00,POINT (2707084.035934152 251857.3119931812),0,3100 BLOCK JASPER ST,Richmond,24.0,Black,Male,409226400.0,firearm,2018,19134.0
26,201822101938,2018-12-20 06:00:00+00:00,POINT (2691316.850130505 250789.0459736808),0,2200 BLOCK W HUNTINGDON ST,Strawberry Mansion,22.0,Black,Male,409212000.0,firearm,2018,19132.0
53,201824111565,2018-12-20 05:00:00+00:00,POINT (2709462.970168892 253581.864541862),0,3500 BLOCK JASPER ST,Harrowgate,24.0,White,Male,409208400.0,knife,2018,19134.0
61,201825058902,2018-12-19 21:00:00+00:00,POINT (2698231.401405226 252718.2031827476),0,3000 BLOCK N 09TH ST,Hartranft,25.0,Black,Male,409179600.0,hammer,2018,19133.0
43,201839090199,2018-12-19 02:00:00+00:00,POINT (2690763.588328114 254342.3101710602),0,3100 BLOCK N STILLMAN ST,Allegheny West,39.0,Black,Male,409111200.0,knife,2018,19132.0
